,train_accuracy,test_accuracy,train_precision,test_precision,train_recall,test_recall,train_f1,test_f1
19,0.7797130524651954,0.682,0.7632753490501258,0.7954545454545454,0.8109307556690376,0.49,0.7863817243920412,0.6064356435643564
20,0.7832998966502523,0.678,0.773089545241444,0.8006756756756757,0.8019940421910147,0.474,0.7872765792379077,0.5954773869346733
21,0.7832998966502523,0.688,0.7574301182189813,0.7901234567901234,0.8335461122256672,0.512,0.7936673323492808,0.6213592233009708
22,0.7858532433582589,0.688,0.7635354780854164,0.7993630573248408,0.8281962429327011,0.502,0.794552506488583,0.6167076167076168
23,0.7755486655723752,0.688,0.7340321164868074,0.7582417582417582,0.8642470666909843,0.552,0.7938351574715211,0.6388888888888888
24,0.7943947960362332,0.686,0.7862843629914277,0.8141891891891891,0.8085597908687459,0.482,0.7972665148063781,0.6055276381909548
25,0.7753662836646604,0.714,0.734385510996119,0.7757731958762887,0.8627880114292662,0.602,0.7934253927433331,0.6779279279279279
26,0.7977080673597179,0.702,0.7775133174657146,0.821656050955414,0.8340932579488115,0.516,0.8048100894559319,0.6339066339066339
27,0.7995622834214846,0.702,0.783923941227312,0.8258064516129032,0.8271019514864125,0.512,0.8049343272985445,0.6320987654320988
28,0.8035746853912092,0.7,0.7809282700421941,0.7906976744186046,0.8438810869961699,0.544,0.8111851332398317,0.6445497630331753
29,0.7772508967110463,0.717,0.7390073895498139,0.7862796833773087,0.8572557602285853,0.596,0.7937517590768365,0.6780432309442548
30,0.7739376253875615,0.697,0.7308401639344262,0.7532133676092545,0.8672867651528968,0.586,0.7932386221468487,0.6591676040494938
31,0.8128761626846617,0.695,0.7924978687127024,0.8095238095238095,0.8477111070581799,0.51,0.8191751850546352,0.6257668711656442
32,0.7963098060672381,0.691,0.7845632881830921,0.799373040752351,0.8169493586236245,0.51,0.8004288649968728,0.6227106227106227
33,0.8005653839139157,0.703,0.777347694378997,0.8142414860681114,0.842422031734452,0.526,0.8085776805251641,0.6391251518833536
34,0.7805945650191501,0.707,0.7380719038530974,0.7674418604651163,0.8699009058301417,0.594,0.7985824310748968,0.6696730552423901
35,0.8099580521612256,0.702,0.7817629179331307,0.7988165680473372,0.8599914888443067,0.54,0.8190134321445114,0.6443914081145584
36,0.7991063286521977,0.698,0.7788483337111766,0.7981927710843374,0.835430725272053,0.53,0.8061478895961047,0.6370192307692307
37,0.8039394492066387,0.699,0.7850829674402692,0.8241042345276873,0.8370113684722476,0.506,0.8102159712822927,0.6270136307311028
38,0.8077086752994103,0.704,0.7846257661811843,0.8207547169811321,0.848258252781324,0.522,0.8152021500350549,0.6381418092909535
39,0.798437594990577,0.702,0.7725405285365312,0.7853107344632768,0.8459480819502705,0.556,0.8075795827166943,0.6510538641686182
40,0.7822056052039638,0.705,0.739155074703761,0.7634961439588689,0.8722110766611952,0.594,0.8001896316127053,0.6681664791901012
41,0.806188826068454,0.699,0.7808196264287706,0.8042813455657493,0.8513587452124749,0.526,0.8145649139134481,0.6360338573155986
42,0.8193203234239164,0.711,0.7880449684672334,0.8057971014492754,0.873609337953675,0.556,0.8286241494637296,0.6579881656804734
43,0.779865037388291,0.709,0.7323709050527485,0.7742782152230971,0.882059699677792,0.59,0.8002757859900717,0.6696935300794552
44,0.8078302632378868,0.706,0.7805418582746967,0.8011695906432749,0.856465438628488,0.548,0.8167429995941794,0.6508313539192399
45,0.8095020973919387,0.7,0.7849865651589789,0.7958579881656804,0.8525138306280017,0.538,0.8173578527088858,0.6420047732696897
46,0.8001094291446289,0.708,0.7599389184350481,0.7780748663101604,0.8773785640464465,0.582,0.8144469525959368,0.665903890160183
47,0.7843029971426835,0.694,0.7388040647500383,0.7552631578947369,0.8795671469390236,0.574,0.8030639431616341,0.6522727272727272
48,0.7879810322815977,0.7,0.7390010090817356,0.7439024390243902,0.8904492674326707,0.61,0.8076870054316359,0.6703296703296703
49,0.8075262933916956,0.697,0.7871374240790145,0.803076923076923,0.8430299714268344,0.522,0.8141255210473786,0.6327272727272727
50,0.8099276551766065,0.7,0.7941040729202723,0.8067484662576687,0.8368289865645328,0.526,0.8149069058402155,0.6368038740920097
51,0.7923581980667518,0.721,0.7477844187963726,0.7855297157622739,0.882302875554745,0.608,0.809493264913406,0.685456595264938
52,0.7826615599732507,0.706,0.7330693267832974,0.7562189054726368,0.889051006140191,0.608,0.8035606351997362,0.6740576496674058
53,0.8121162380691835,0.725,0.7741642635907294,0.8082191780821918,0.881330172046933,0.59,0.8242786069651741,0.6820809248554913
54,0.8131497355462338,0.712,0.7839894144889183,0.8028571428571428,0.8644902425679373,0.562,0.8222742648972157,0.6611764705882353
55,0.797738464344337,0.708,0.7619964692665704,0.7857142857142857,0.8659492978296554,0.572,0.8106539183882534,0.6620370370370371
56,0.8157942732080977,0.707,0.7823251263655634,0.8,0.875068393215393,0.552,0.8261019283746557,0.6532544378698225
57,0.7938172533284699,0.715,0.7553899809765378,0.7882037533512064,0.8690497902608061,0.588,0.808243575608515,0.6735395189003437
58,0.7913247005897015,0.702,0.75160138611782,0.7700534759358288,0.8702656696455712,0.576,0.8065924778137766,0.6590389016018307
59,0.7913550975743207,0.713,0.7436327588836358,0.7723785166240409,0.8892941820171439,0.604,0.8099667774086379,0.6778900112233446
60,0.8114475044075627,0.705,0.7753412877566377,0.7839335180055401,0.877013800231017,0.566,0.8230494936528313,0.6573751451800233
61,0.8175876953006261,0.708,0.8016863016863017,0.8190184049079755,0.8439418809654082,0.534,0.8222715830001481,0.6464891041162227
62,0.8134841023770442,0.702,0.7932662230563613,0.8005952380952381,0.8479542829351329,0.538,0.8196991067230841,0.6435406698564593
63,0.802085233144872,0.71,0.7622163588390501,0.7932960893854749,0.8781080916773056,0.568,0.8160682505155513,0.662004662004662
64,0.7879202383123595,0.714,0.750927201441136,0.7801047120418848,0.8616329260137394,0.596,0.8024799705574271,0.6757369614512472
65,0.8215089063164934,0.699,0.8095405326309628,0.8327759197324415,0.8408413885342574,0.498,0.8248941372934931,0.623279098873592
66,0.7961274241595234,0.713,0.7613477840970061,0.7933884297520661,0.8626664234907897,0.576,0.8088465813549178,0.6674391657010429
67,0.7978600522828135,0.715,0.7496306108931574,0.7721518987341772,0.8944616694023952,0.61,0.8156669253797538,0.6815642458100558
68,0.8079822481609824,0.713,0.7727174849267873,0.8051575931232091,0.8726366344458629,0.562,0.8196431120628123,0.6619552414605419
69,0.7904127910511277,0.71,0.7398092369477912,0.770618556701031,0.8959207246641133,0.598,0.8104154637191014,0.6734234234234234
70,0.7953371025594261,0.715,0.7489239598278336,0.7806788511749347,0.8885646543862848,0.598,0.8127902127067983,0.6772366930917327
71,0.7967657608365251,0.706,0.7507576925052654,0.7768817204301075,0.8885038604170467,0.578,0.8138434124067268,0.6628440366972477
72,0.8114475044075627,0.71,0.7791521360069747,0.8052325581395349,0.8692929661377591,0.554,0.8217579954599006,0.6563981042654028
73,0.8013861024986322,0.7,0.7679874587815557,0.8012048192771084,0.86369992096784,0.532,0.8130365113883484,0.6394230769230769
74,0.806918353699313,0.715,0.7683516717163663,0.8045325779036827,0.8787768253389264,0.568,0.8198627417616697,0.6658851113716295
75,0.8203842178855858,0.692,0.7998065764023211,0.8076923076923077,0.8547024135205787,0.504,0.8263437858171452,0.6206896551724138
76,0.7964009970210955,0.743,0.7491440543717104,0.7985257985257985,0.8912395890327679,0.65,0.8140374257315787,0.7166482910694597
77,0.8219952580703994,0.68,0.8181272148477386,0.8146853146853147,0.8280746549942246,0.466,0.8230708804157351,0.5928753180661578
78,0.8178612681621983,0.704,0.7950454263303426,0.8290322580645161,0.8565262325977263,0.514,0.8246414983904009,0.6345679012345679
79,0.796279409082619,0.72,0.7534453169691612,0.7777777777777778,0.8807830263237887,0.616,0.8121531475979595,0.6875
80,0.8213873183780169,0.701,0.8023102876422485,0.8130841121495327,0.8529393884126695,0.522,0.8268505421970769,0.6358099878197321
81,0.8102012280381786,0.701,0.7807736752324878,0.7913043478260869,0.8626056295215515,0.546,0.819652244237768,0.6461538461538462
82,0.7949419417593775,0.692,0.7573057544417926,0.7666666666666667,0.8680770867529941,0.552,0.80891683661908,0.641860465116279
83,0.811751474253754,0.701,0.7839424141749723,0.7879656160458453,0.8607210164751656,0.55,0.820539569387696,0.6478209658421673
84,0.7934524895130403,0.713,0.757412542662116,0.7966573816155988,0.863456745090887,0.572,0.8069657112013863,0.6658905704307334
85,0.7962186151133808,0.711,0.7559220547297653,0.784366576819407,0.8749468052769165,0.582,0.8110910730387737,0.6681974741676234
86,0.8181652380083896,0.706,0.7832440331222601,0.8011695906432749,0.8798103228159767,0.548,0.8287235870125408,0.6508313539192399
87,0.8244574138245486,0.68,0.814830108541765,0.8125,0.8397470970879689,0.468,0.827100985000449,0.5939086294416244
88,0.7965833789288103,0.727,0.7512230289922242,0.7979002624671916,0.8868624232476139,0.608,0.8134270101483216,0.6901248581157775
89,0.7959146452671895,0.712,0.7566028783805155,0.7804232804232805,0.8725150465073864,0.59,0.8104353718448246,0.6719817767653758
