,training_accuracy,training_accuracy_druggable,training_accuracy_non_druggable,test_accuracy,test_accuracy_druggable,test_accuracy_non_druggable
37,0.9901851851851852,0.9885185185185185,0.9918518518518519,0.7373764539770054,0.7371794871794872,0.7373850796547126
38,0.9927777777777778,0.9907407407407407,0.9948148148148148,0.736031735359376,0.7307692307692307,0.736262193838164
39,0.9922222222222222,0.9925925925925926,0.9918518518518519,0.7374436899078868,0.7355769230769231,0.7375254403817811
40,0.9938888888888889,0.9925925925925926,0.9951851851851852,0.740536542728434,0.7516025641025641,0.7400519334690153
41,0.9937037037037038,0.9911111111111112,0.9962962962962963,0.7395952396960936,0.7532051282051282,0.7389992280160012
42,0.9975925925925926,0.997037037037037,0.9981481481481481,0.7356283197740873,0.7676282051282052,0.7342269632956698
43,0.9935185185185185,0.9933333333333333,0.9937037037037038,0.7372419821152424,0.7483974358974359,0.736753456382904
44,0.9962962962962963,0.9966666666666667,0.9959259259259259,0.7396624756269751,0.7355769230769231,0.7398413923784125
45,0.9968518518518519,0.9966666666666667,0.997037037037037,0.7416123176225374,0.7419871794871795,0.7415959014667696
46,0.9988888888888889,0.9981481481481481,0.9996296296296296,0.7340146574329321,0.7419871794871795,0.7336655203873956
47,0.9975925925925926,0.9977777777777778,0.9974074074074074,0.73804881328582,0.7708333333333334,0.7366130956558355
48,0.9985185185185185,0.9981481481481481,0.9988888888888889,0.737040274322598,0.75,0.736472734928767
49,0.9994444444444445,0.9996296296296296,0.9992592592592593,0.7432932158945741,0.7580128205128205,0.7426486069197838
50,0.9990740740740741,0.9985185185185185,0.9996296296296296,0.7402003630740268,0.7435897435897436,0.7400519334690153
51,0.9988888888888889,0.9988888888888889,0.9988888888888889,0.7399314193505009,0.7387820512820513,0.7399817531054811
52,0.9977777777777778,0.9985185185185185,0.997037037037037,0.7428225643784038,0.7467948717948718,0.7426486069197838
53,0.9977777777777778,0.9981481481481481,0.9974074074074074,0.7407382505210784,0.7403846153846154,0.7407537371043582
54,0.9994444444444445,0.9992592592592593,0.9996296296296296,0.7390573522490419,0.7435897435897436,0.7388588672889326
55,0.9987037037037036,0.9981481481481481,0.9992592592592593,0.7402003630740268,0.7435897435897436,0.7400519334690153
56,0.9992592592592593,0.9996296296296296,0.9988888888888889,0.737914341424057,0.7355769230769231,0.7380167029265211
57,0.9996296296296296,0.9996296296296296,0.9996296296296296,0.7410071942446043,0.7548076923076923,0.7404028352866868
58,0.9992592592592593,0.9996296296296296,0.9988888888888889,0.7412089020372487,0.7467948717948718,0.740964278194961
59,0.9994444444444445,0.9992592592592593,0.9996296296296296,0.7404020708666712,0.7483974358974359,0.7400519334690153
60,0.9994444444444445,1.0,0.9988888888888889,0.7365696228064278,0.7644230769230769,0.7353498491122185
61,1.0,1.0,1.0,0.7354938479123243,0.7387820512820513,0.7353498491122185
62,0.9994444444444445,0.9992592592592593,0.9996296296296296,0.7356283197740873,0.7467948717948718,0.7351393080216155
63,0.9996296296296296,1.0,0.9992592592592593,0.74080548645196,0.75,0.7404028352866868
64,0.9996296296296296,0.9992592592592593,1.0,0.736905802460835,0.7387820512820513,0.7368236367464384
65,0.9996296296296296,0.9996296296296296,0.9996296296296296,0.7385867007328717,0.7596153846153846,0.7376658011088497
66,1.0,1.0,1.0,0.7391245881799233,0.7644230769230769,0.7380167029265211
67,0.9998148148148148,0.9996296296296296,1.0,0.7395952396960936,0.7243589743589743,0.7402624745596182
68,0.9990740740740741,0.9985185185185185,0.9996296296296296,0.7373764539770054,0.7323717948717948,0.7375956207453155
69,0.9990740740740741,0.9985185185185185,0.9996296296296296,0.7373764539770054,0.7323717948717948,0.7375956207453155
70,1.0,1.0,1.0,0.7335440059167619,0.7435897435897436,0.7331040774791213
71,0.9996296296296296,0.9992592592592593,1.0,0.7422846769313521,0.75,0.741946803284441
72,0.9998148148148148,0.9996296296296296,1.0,0.7328716466079472,0.7564102564102564,0.7318408309355042
73,0.9994444444444445,0.9992592592592593,0.9996296296296296,0.7377798695622941,0.7580128205128205,0.7368938171099726
74,1.0,1.0,1.0,0.7352921401196799,0.7532051282051282,0.734507684749807
75,0.9994444444444445,0.9992592592592593,0.9996296296296296,0.736166207221139,0.7403846153846154,0.735981472384027
76,0.9996296296296296,0.9996296296296296,0.9996296296296296,0.741410609829893,0.7483974358974359,0.7411046389220296
77,0.9992592592592593,0.9988888888888889,0.9996296296296296,0.7397297115578565,0.7724358974358975,0.7382974243806583
78,0.9996296296296296,0.9996296296296296,0.9996296296296296,0.7371075102534794,0.7596153846153846,0.7361218331110955
79,0.9994444444444445,0.9992592592592593,0.9996296296296296,0.7393262959725677,0.7564102564102564,0.7385781458347954
