,training_accuracy,training_accuracy_druggable,training_accuracy_non_druggable,test_accuracy,test_accuracy_druggable,test_accuracy_non_druggable
44,0.9959259259259259,0.9937037037037038,0.9981481481481481,0.7404020708666712,0.7548076923076923,0.7397712120148783
45,0.9940740740740741,0.9944444444444445,0.9937037037037038,0.7347542526726283,0.7467948717948718,0.7342269632956698
46,0.9968518518518519,0.9966666666666667,0.997037037037037,0.7422846769313521,0.7403846153846154,0.7423678854656467
47,0.9961111111111111,0.9962962962962963,0.9959259259259259,0.73804881328582,0.7371794871794872,0.7380868832900555
48,0.9990740740740741,0.9992592592592593,0.9988888888888889,0.7363679150137834,0.7628205128205128,0.7352094883851499
49,0.9981481481481481,0.9985185185185185,0.9977777777777778,0.7314596920594366,0.7532051282051282,0.7305074040283529
50,0.9977777777777778,0.9974074074074074,0.9981481481481481,0.740536542728434,0.7516025641025641,0.7400519334690153
51,0.9972222222222222,0.9977777777777778,0.9966666666666667,0.7421502050695892,0.7516025641025641,0.7417362621938381
52,0.9987037037037036,0.9977777777777778,0.9996296296296296,0.7393935319034493,0.7564102564102564,0.7386483261983297
53,0.9994444444444445,0.9992592592592593,0.9996296296296296,0.7355610838432058,0.7596153846153846,0.734507684749807
54,0.9977777777777778,0.9977777777777778,0.9977777777777778,0.7346870167417467,0.7532051282051282,0.7338760614779984
55,0.9992592592592593,0.9996296296296296,0.9988888888888889,0.7362334431520204,0.7612179487179487,0.7351393080216155
56,0.9990740740740741,0.9988888888888889,0.9992592592592593,0.7340818933638136,0.7596153846153846,0.7329637167520527
57,0.9985185185185185,0.9977777777777778,0.9992592592592593,0.7329388825388288,0.7516025641025641,0.7321215523896414
58,0.9990740740740741,0.9988888888888889,0.9992592592592593,0.7383177570093458,0.7596153846153846,0.7373850796547126
59,0.9983333333333333,0.9977777777777778,0.9988888888888889,0.7406037786593156,0.7516025641025641,0.7401221138325497
60,0.9988888888888889,0.9988888888888889,0.9988888888888889,0.7348887245343911,0.7451923076923077,0.7344375043862728
61,0.9988888888888889,0.9988888888888889,0.9988888888888889,0.7348887245343911,0.7451923076923077,0.7344375043862728
62,0.9990740740740741,0.9992592592592593,0.9988888888888889,0.741410609829893,0.7548076923076923,0.7408239174678924
63,0.9994444444444445,0.9992592592592593,0.9996296296296296,0.7393935319034493,0.7387820512820513,0.7394203101972068
64,0.9987037037037036,0.9981481481481481,0.9992592592592593,0.7357627916358502,0.7419871794871795,0.7354902098392869
65,0.9985185185185185,0.9981481481481481,0.9988888888888889,0.7374436899078868,0.7532051282051282,0.736753456382904
66,0.9988888888888889,0.9981481481481481,0.9996296296296296,0.7344853089491024,0.7644230769230769,0.7331742578426557
